,SourceID,DestID
0,2965,2990
1,2966,2990
2,2966,2962
3,2968,2990
4,2968,4078
5,4029,2990
6,4029,6969
7,4029,\N
8,4029,6160
9,6156,2952
10,6156,2990
11,2922,6969
12,2952,6156
13,2990,2965
14,2990,2966
15,2990,2968
16,2990,4029
17,2990,6156
18,2990,2948
19,2990,2975
20,2948,2990
21,2948,6969
22,2948,6160
23,2962,2966
24,6969,4029
25,6969,2922
26,6969,2948
27,6969,2975
28,2972,2975
29,2972,6160
30,4364,2975
31,4078,2968
32,4078,2975
33,2975,2990
34,2975,6969
35,2975,2972
36,2975,4364
37,2975,4078
38,\N,4029
39,6160,4029
40,6160,2948
41,6160,2972
42,2936,2937
43,2936,4078
44,2968,4078
45,2935,2937
46,2937,2936
47,2937,2935
48,2937,\N
49,2937,8944
50,2937,4078
51,2937,6924
52,2937,9026
53,2937,2923
54,\N,2937
55,2925,4078
56,8944,2937
57,4078,2936
58,4078,2968
59,4078,2937
60,6924,2937
61,9026,2937
62,2923,2937
63,2786,2789
64,2812,2789
65,2812,2808
66,6067,2789
67,2801,2781
68,2801,2806
69,2789,2786
70,2789,2812
71,2789,6067
72,2789,2781
73,2789,2806
74,2781,2801
75,2781,2789
76,2781,2806
77,2808,2812
78,2806,2801
79,2806,2789
80,2806,2781
81,253,247
82,253,246
83,248,246
84,1044,253
85,1044,1084
86,1044,246
87,247,253
88,247,246
89,245,298
90,245,246
91,1084,1044
92,1084,246
93,298,246
94,280,246
95,246,253
96,246,248
97,246,1044
98,246,247
99,246,245
100,246,1084
101,246,298
102,246,280
103,2709,2673
104,2709,2688
105,2715,2673
106,2673,2709
107,2673,2715
108,2673,6045
109,2673,2688
110,2670,2688
111,6045,2673
112,2688,2709
113,2688,2673
114,2688,2670
115,1506,1678
116,1264,1678
117,490,1678
118,1665,1054
119,1197,1678
120,1054,1678
121,4197,1678
122,1056,1665
123,1678,1506
124,1678,1264
125,1678,490
126,1678,1197
127,1678,1054
128,1678,4197
129,730,719
130,737,715
131,737,709
132,737,688
133,737,718
134,737,5595
135,737,719
136,737,442
137,737,722
138,737,448
139,737,664
140,737,746
141,737,729
142,737,711
143,715,737
144,715,718
145,709,737
146,709,688
147,709,711
148,5599,729
149,688,737
150,688,709
151,435,448
152,718,737
153,718,715
154,5595,737
155,719,730
156,719,737
157,442,737
158,442,460
159,722,737
160,644,711
161,448,737
162,448,435
163,460,442
164,664,737
165,746,737
166,729,737
167,729,5599
168,711,737
169,711,644
170,3531,7167
171,3531,7168
172,3531,7162
173,3531,7164
174,3531,7163
175,7167,7176
176,7168,7173
177,7162,7161
178,7164,7165
179,7173,7172
180,6019,2397
181,4200,2397
182,2399,2397
183,2400,2397
184,6024,2397
185,2425,2397
186,8076,2397
187,2402,2397
188,2430,2397
189,4203,2397
190,2397,6019
191,2397,4200
192,2397,2399
193,2397,2400
194,2397,6024
195,2397,2425
196,2397,8076
197,2397,2402
198,2397,2430
199,2397,4203
200,2397,2426
201,2397,4204
202,2397,2433
203,2397,6026
204,2397,6016
205,2397,6021
206,2397,2404
207,2426,2397
208,4204,2397
209,2433,2397
210,6026,2397
211,6016,2397
212,6021,2397
213,2404,2397
214,7376,4214
215,7373,2531
216,7373,2621
217,2531,7373
218,2531,7367
219,2531,2613
220,2535,2564
221,2548,2562
222,2548,7367
223,2538,7380
224,7380,2538
225,7380,2564
226,2560,2613
227,2564,2535
228,2564,7380
229,2564,2613
230,2564,2635
231,2564,2633
232,2564,6039
233,2562,2548
234,2562,4214
235,2562,2613
236,2562,2633
237,7367,2531
238,7367,2548
239,2528,2613
240,4214,7376
241,4214,2562
242,2613,2531
243,2613,2560
244,2613,2564
245,2613,2562
246,2613,2528
247,2613,2619
248,2613,2633
249,2619,2613
250,2621,7373
251,2621,6039
252,2635,2564
253,2635,2633
254,2633,2564
255,2633,2562
256,2633,2613
257,2633,2635
258,6039,2564
259,6039,2621
260,5726,3830
261,5726,3678
262,4042,3830
263,4042,3678
264,3591,3678
265,3830,5726
266,3830,4042
267,3678,5726
268,3678,4042
269,3678,3591
270,7144,7145
271,7144,3808
272,7145,7144
273,7145,7147
274,7145,3808
275,7147,7145
276,7147,3808
277,3808,7144
278,3808,7145
279,3808,7147
280,3808,7146
281,7146,3808
282,248,1084
283,248,273
284,248,1063
285,1218,1050
286,1050,1218
287,1050,1084
288,1050,1059
289,4162,5665
290,1084,248
291,1084,1050
292,1084,897
293,1084,1059
294,1084,273
295,1084,5665
296,897,1084
297,897,273
298,1059,1050
299,1059,1084
300,1059,502
301,1059,1063
302,502,1059
303,273,248
304,273,1084
305,273,897
306,273,1063
307,5665,4162
308,5665,1084
309,1063,248
310,1063,1059
311,1063,273
312,5506,5504
313,5506,6727
314,5512,154
315,62,5496
316,62,6727
317,62,146
318,5496,62
319,5496,5520
320,5496,5529
321,5496,5515
322,5496,146
323,5496,149
324,5504,5506
325,5504,5535
326,5481,5508
327,5481,5499
328,5481,154
329,80,111
330,80,154
331,80,161
332,80,202
333,5520,6727
334,5520,5515
335,5520,154
336,5508,5481
337,5508,6728
338,5508,154
339,6727,5506
340,6727,62
